LISTING_NEIGHBOURHOOD,MONTH_YEAR,TOTAL_LISTINGS,ACTIVE_LISTINGS_RATE,TRUE_MIN_PRICE_ACTIVE_LISTINGS,TRUE_MAX_PRICE_ACTIVE_LISTINGS,TRUE_AVG_PRICE_ACTIVE_LISTINGS,TRUE_MEDIAN_PRICE_ACTIVE_LISTINGS,TOTAL_DISTINCT_HOSTS,TOTAL_SUPERHOST_COUNT,TRUE_AVG_REVIEW_SCORE_RATING,PERCENTAGE_CHANGE_ACTIVE,PERCENTAGE_CHANGE_INACTIVE,TOTAL_NUMBER_OF_STAYS,AVG_REV
liverpool,12_2020,133,100.000000,24,503,134.710231,126.000,106,24,93.534069,1%,,2331,2032.902256
mosman,01_2021,482,100.000000,30,8230,820.542970,676.000,335,52,88.292673,,,11191,9975.321577
mosman,02_2021,480,100.000000,30,4000,669.866373,541.000,333,52,87.942713,0%,,10938,9214.137500
mosman,03_2021,472,99.788136,30,4000,665.838495,541.000,331,52,87.892664,-2%,,11071,9785.627119
mosman,04_2021,461,99.349241,30,4000,692.120331,614.000,322,51,87.547057,-3%,200%,11096,9915.156182
mosman,05_2020,510,100.000000,31,15309,837.895344,494.000,370,61,86.555850,11%,-100%,10787,9153.460784
mosman,06_2020,509,100.000000,30,14478,714.601561,440.000,368,58,86.498086,0%,,10708,8602.856582
mosman,07_2020,492,100.000000,30,14355,718.255614,495.000,354,55,87.080065,-3%,,10606,9313.821138
mosman,08_2020,439,100.000000,30,13936,603.885898,495.000,305,49,89.199057,-11%,,8890,8476.164009
mosman,09_2020,504,100.000000,30,13748,603.146862,495.000,349,51,88.496274,15%,,10636,8630.061508
mosman,10_2020,490,100.000000,30,4000,667.409796,550.000,338,47,88.747185,-3%,,11274,9024.567347
mosman,11_2020,478,100.000000,30,4000,636.538781,523.000,332,50,88.411491,-2%,,10879,8804.711297
mosman,12_2020,482,100.000000,30,8230,1006.162105,819.000,333,52,88.216645,1%,,11595,11026.707469
north sydney,01_2021,1197,100.000000,26,14589,294.599213,180.000,921,150,90.946243,,,27135,4618.187135
north sydney,02_2021,1188,99.915825,26,14589,263.199560,185.000,916,150,91.306957,-1%,,25938,4320.060606
north sydney,03_2021,1178,99.915110,26,14589,272.397764,177.000,910,146,91.168799,-1%,0%,26527,4518.991511
north sydney,04_2021,1184,99.831081,26,14589,257.703702,180.000,898,147,90.731174,0%,100%,27185,4430.896115
north sydney,05_2020,1350,100.000000,21,10000,347.105518,175.000,1036,177,89.629462,14%,-100%,26949,3852.506667
north sydney,06_2020,1337,100.000000,21,3150,353.609378,180.000,1028,179,89.394566,-1%,,27417,3959.500374
north sydney,07_2020,1317,100.000000,19,3150,397.689301,185.000,1007,170,89.835643,-1%,,27411,4070.677297
north sydney,08_2020,1157,100.000000,26,14589,227.362795,145.000,873,151,90.027978,-12%,,22492,3787.452895
north sydney,09_2020,1282,100.000000,26,14589,248.165190,156.000,978,157,90.374122,11%,,26800,3998.806552
north sydney,10_2020,1258,100.000000,26,14589,275.040527,160.000,961,160,90.635393,-2%,,27606,4331.064388
north sydney,11_2020,1190,100.000000,26,14589,241.783405,165.000,916,146,90.823470,-5%,,25845,4212.124370
north sydney,12_2020,1202,100.000000,26,14589,290.968013,179.000,933,151,91.267714,1%,,27934,4744.770383
northern beaches,01_2021,4844,99.979356,20,10000,732.916398,411.000,3931,680,92.800166,,,111684,8547.450248
northern beaches,02_2021,4807,99.958394,20,10000,628.054994,403.000,3920,663,92.540396,-1%,100%,106619,7771.962763
northern beaches,03_2021,4769,99.958062,20,10000,636.016713,414.000,3890,651,92.619547,-1%,0%,107635,7834.140281
northern beaches,04_2021,4712,99.681664,20,10000,662.299297,440.000,3841,633,92.603864,-1%,650%,105926,7928.253820
northern beaches,05_2020,5040,100.000000,12,7654,807.289825,429.000,4152,731,92.860167,7%,-100%,107647,6747.822817
northern beaches,06_2020,4989,100.000000,13,7151,796.638798,424.000,4113,727,93.008491,-1%,,106527,6806.351974
northern beaches,07_2020,4960,100.000000,1,7137,872.631391,464.000,4078,718,92.908881,-1%,,107250,6935.737500
northern beaches,08_2020,4461,100.000000,15,10000,525.454865,318.000,3651,687,92.597147,-10%,,91553,6307.751401
northern beaches,09_2020,4837,100.000000,15,10000,518.955437,309.000,3983,695,92.388154,8%,,107295,7041.925574
northern beaches,10_2020,4778,100.000000,15,10000,592.058585,350.000,3909,690,92.685831,-1%,,111408,7723.583508
northern beaches,11_2020,4763,100.000000,20,10000,595.382960,352.000,3896,682,92.566746,0%,,109564,7872.260970
northern beaches,12_2020,4891,99.959109,20,10000,762.023960,446.000,3987,692,92.443830,3%,,122167,9545.128604
parramatta,01_2021,541,100.000000,20,3000,157.059274,161.000,403,66,89.596673,,,10490,2018.994455
parramatta,02_2021,537,99.627561,20,3000,154.923839,148.000,400,66,85.814319,-1%,,9174,1629.124767
parramatta,03_2021,521,99.424184,20,3000,174.295426,158.000,393,63,85.875589,-3%,50%,9347,1695.925144
parramatta,04_2021,515,98.640777,20,3000,221.235391,219.000,398,63,88.137929,-2%,133%,9108,1731.563107
parramatta,05_2020,605,100.000000,14,3000,802.404816,135.000,427,71,89.002740,19%,-100%,9265,2362.502479
parramatta,06_2020,581,100.000000,14,3000,786.095293,130.000,415,69,87.479282,-4%,,9353,1983.409639
parramatta,07_2020,572,100.000000,14,3000,1027.457137,170.000,405,71,87.078784,-2%,,9495,1937.877622
parramatta,08_2020,502,100.000000,20,3000,113.965961,85.000,369,65,86.746282,-12%,,8115,1695.183267
parramatta,09_2020,539,100.000000,20,3000,126.272586,119.000,395,68,88.572125,7%,,9111,1702.326531
